시설명,소재지도로명주소,소재지지번주소,운영기관명,전화번호,급식장소,급식대상,급식시간,급식요일,운영시작일자,운영종료일자,위도,경도,데이터기준일자,제공기관코드,제공기관명
세화종합사회복지관,인천광역시 연수구 원인재로 315,인천광역시 연수구 연수동 533,세화종합사회복지관,032-813-2790,각 수급자 가정,거동불편 저소득 재가노인,중식(11:30-13:00),월+화+수+목+금,,,37.4213223667,126.6908760712,2020-09-01,3520000,인천광역시 연수구
사랑의무료급식,경기도 동두천시 평화로 2285,경기도 동두천시 지행동 424-1,은혜의집,031-862-4437,지행역주차장,독거노인 및 저소득층등,중식 11:00-13:00,수,,,37.8918364,127.0556432,2020-08-31,3920000,경기도 동두천시
이대종합사회복지관,서울특별시 서대문구 북아현로4마길 26-24 (북아현동),서울특별시 서대문구 북아현동 1-461,이대종합사회복지관,,대상자 가정(배달),저소득어르신,10:30~12:00,"식사배달(월,화,수,목,금,토,일), 밑반찬배달(월,목)",2000-05-01,,37.559447,126.9604714,2019-02-06,3120000,서울특별시 서대문구
천안시노인종합복지관,충청남도 천안시 서북구 미라11길 16,충청남도 천안시 서북구 쌍용동 1038,천안시노인종합복지관,041-571-0617,천안시노인종합복지관,독거노인,12:00~13:00,"월,화,수,목,금",2018-01-01,2018-12-31,36.8042784793,127.1292883019,2019-09-27,4490000,충청남도 천안시
천안아우내은빛복지관,충청남도 천안시 동남구 병천면 병천2로 51,충청남도 천안시 동남구 병천면 병천리 120-3,천안아우내은빛복지관,041-556-6606,천안아우내은빛복지관,독거노인,12:00~13:00,"월,화,수,목,금",2018-01-01,2018-12-31,36.7664825979,127.3020364885,2019-09-27,4490000,충청남도 천안시
(사)대한노인회천안시지회,충청남도 천안시 동남구 중앙로 217,충청남도 천안시 동남구 신부동 370-6,(사)대한노인회천안시지회,041-565-0247,(사)대한노인회천안시지회,독거노인,12:00~13:00,"월,화,수,목,금",2018-01-01,2018-12-31,36.8177207284,127.1525389,2019-09-27,4490000,충청남도 천안시
천안쌍용종합사회복지관,충청남도 천안시 서북구 쌍용11길 57,충청남도 천안시 서북구 쌍용동 1284,천안쌍용종합사회복지관,041-571-4064,천안쌍용종합사회복지관,독거노인,12:00~13:00,"월,화,수,목,금",2018-01-01,2018-12-31,36.8024937465,127.1264301257,2019-09-27,4490000,충청남도 천안시
낙원교회,경기도 동두천시 삼육사로 1028-21,경기도 동두천시 생연동 303-2,낙원교회,031-862-7030,지하식당,독거노인 및 저소득층등,중식 11:30-13:00,목,,,37.8990015512,127.0647301817,2020-08-31,3920000,경기도 동두천시
노인복지관,경기도 동두천시 동두천로 264,경기도 동두천시 생연동 643-3,노인복지관,031-857-9918,노인복지관 식당,"회원가입(만65세이상,국민기초,장애인,유공자)",중식 11:30-13:00,월+화+수+목+금,,,37.9051545,127.0562121186,2020-08-31,3920000,경기도 동두천시
장애인복지관,경기도 동두천시 상패로 64,경기도 동두천시 상패동 54,장애인복지관,031-867-0080,장애인복지관 식당,회원가입(국민기초),중식 11:30-13:00,월+화+수+목+금,,,37.9072333376,127.0481084392,2020-08-31,3920000,경기도 동두천시
부산노인종합복지관,부산광역시 연제구 거제천로 230번길 18,부산광역시 연제구 연산동 578-3,부산노인종합복지관,051-853-1872,부산노인종합복지관,저소득층 노인,중식(12:00-13:00),월+화+수+목+금+토,,,35.19110825,129.0821016,2020-07-29,3370000,부산광역시 연제구
사랑나라,부산광역시 연제구 황령산로 503번길 27-1,부산광역시 연제구 연산동 산183-2,사랑나라,051-866-5634,부산진역,노숙자 저소득층,중식(12:00-13:00),월+목,,,35.16550525,129.0816461,2020-07-29,3370000,부산광역시 연제구
대양교회,부산광역시 연제구 연안로 13번길 25,부산광역시 연제구 연산동 396-18,대양교회,051-759-9773,대양교회,저소득층,중식(12:00-13:00),목+일,,,35.1886191,129.1056006,2020-07-29,3370000,부산광역시 연제구
한마음교회,부산광역시 연제구 과정로 237번길 69,부산광역시 연제구 연산동 416-11,한마음교회,051-851-8579,한마음교회,저소득층,중식(12:00-13:00),수+일,,,35.1859253,129.1046632,2020-07-29,3370000,부산광역시 연제구
참주랑교회,부산광역시 연제구 고분로 98,부산광역시 연제구 연산동 964-8,참주랑교회,051-861-5436,참주랑교회,저소득층 아동,석식(17:00-18:00),월+화+수 +목+금+토+일,,,35.18576649,129.0929841,2020-07-29,3370000,부산광역시 연제구
수자타의집,부산광역시 연제구 월드컵대로 248번길 15,부산광역시 연제구 거제동 1040-2,수자타의집,051-502-3710,수자타의집,저소득층 노인 노숙자,중식(11:00-12:00),금+토,,,35.19099765,129.0711081,2020-07-29,3370000,부산광역시 연제구
연제구노인복지관,부산광역시 연제구 고분로 188,부산광역시 연제구 연산동 243-26,연제구노인복지관,051-863-9988,연제구노인복지관,저소득층 노인,중식(12:00-13:00),월+화+수+목+금,,,35.18536524,129.1027975,2020-07-29,3370000,부산광역시 연제구
지구시민운동연합,부산광역시 연제구 아시아드대로 56 2호,부산광역시 연제구 거제동 987-10 2호,지구시민운동연합,051-582-7798,지구시민운동연합,저소득층 노인,중식(11:00-12:00),목,,,35.18975227,129.0681718,2020-07-29,3370000,부산광역시 연제구
유성구노인복지관,대전광역시 유성구 가정로 15(신성동),대전광역시 유성구 신성동 372,유성구노인복지관,042-862-4634,유성구노인복지관,결식노인 및 취약계층,중식(11:30-13:00),"월, 화, 수, 목, 금",2000-02-01,,36.3845474836,127.3440235731,2020-07-14,3670000,대전광역시 유성구
송강사회복지관,대전광역시 유성구 봉산로 45(송강동),대전광역시 유성구 송강동 10,송강사회복지관,042-934-6338,송강사회복지관,기초수급 노인,중식(11:30-13:00),"월, 화, 수, 목, 금",1996-08-01,,36.4372159505,127.3851195923,2020-07-14,3670000,대전광역시 유성구
영도구노인복지관,부산광역시 영도구 절영로29번길 14 (대교동2가),부산광역시 영도구 대교동2가 159-10,영도구노인복지관,051-417-6344,영도구노인복지관,저소득노인,11:00~13:00,월+화+수+목+금,2001-10-26,,35.09133006,129.0400929,2020-07-29,3280000,부산광역시 영도구
와치종합사회복지관,부산광역시 영도구 함지로79번길 76 (동삼동),부산광역시 영도구 동삼동 510-9,와치종합사회복지관,051-403-4200,와치종합사회복지관,저소득노인,11:00~12:00,월+화+수+목+금,1995-04-21,,35.0759964,129.0655229,2020-07-29,3280000,부산광역시 영도구
절영종합사회복지관,부산광역시 영도구 함지로 33-10 (동삼동),부산광역시 영도구 동삼동 1124-6,절영종합사회복지관,051-404-5530,절영종합사회복지관,저소득노인,11:20~12:10,월+화+수+목+금,1994-03-12,,35.07221265,129.0617457,2020-07-29,3280000,부산광역시 영도구
상리종합사회복지관,부산광역시 영도구 상리로 63-16 (동삼동),부산광역시 영도구 동삼동 1123,상리종합사회복지관,051-404-4003,상리종합사회복지관,저소득노인,11:30~13:00,월+화+수+목+금,1994-03-30,,35.08616799,129.0707765,2020-07-29,3280000,부산광역시 영도구
영도종합사회복지관,부산광역시 영도구 산정길 138 (신선동3가),부산광역시 영도구 신선동3가 112-127,영도종합사회복지관,051-413-4661,영도종합사회복지관,저소득노인,11:30~12:30,월+화+수+목+금,1992-03-20,,35.08121547,129.0475086,2020-07-29,3280000,부산광역시 영도구
동삼종합사회복지관,부산광역시 영도구 상리로 30 (동삼동),부산광역시 영도구 동삼동 1121,동삼종합사회복지관,051-405-2133,동삼종합사회복지관,저소득노인,12:00~12:40,월+화+수+목+금,1992-03-22,,35.08333112,129.0668384,2020-07-29,3280000,부산광역시 영도구
순천종합사회복지관,전라남도 순천시 저전길 84 (인제동),전라남도 순천시 인제동 101-6,순천종합사회복지관,061-741-3062,복지관 내 식당,만60세 이상 결식우려 노인,11:45 ~ 12:45,매주 월~금,2000-06-09,,34.94634798,127.4846998,2020-07-28,4820000,전라남도 순천시
순천조례종합사회복지관,전라남도 순천시 신월큰길 54 (조례동),전라남도 순천시 조례동 1666,순천조례종합사회복지관,061-722-2304,복지관 내 식당,만60세 이상 결식우려 노인,11:20 ~ 12:00,매주 월~금,1996-03-04,,34.9612969,127.5160932,2020-07-28,4820000,전라남도 순천시
노송천노인복지관(안골노인복지관 분관),전라북도 전주시 완산구 공북로 101,전라북도 전주시 완산구 서노송동 651-18,안골노인복지관 분관 노송천노인복지관,063-272-4377,안골노인복지관 분관 노송천노인복지관,"독거노인, 결식노인, 저소득층 등",중식(11:30-12:30),월+화+수+목+금,2015-01-01,2017-12-31,35.8266368,127.1430267,2019-06-28,6450000,전라북도
동구행복한어르신복지관,대전광역시 동구 동부로23(판암동),,동구행복한어르신복지관,042-282-5910,동구행복한어르신복지관,"기초생활수급자, 차상위, 저소득 독거노인",중식(11:30-12:30),월~금,2016-01-01,,36.319366,127.4563881,2019-09-06,3640000,대전광역시 동구
산내종합사회복지관,대전광역시 동구 산내로1352-25(낭월동),,산내종합사회복지관,042-272-0591,산내종합사회복지관,"기초생활수급자, 차상위, 저소득 독거노인",중식(12:00-13:00),월~금,2016-01-01,,36.284637,127.4682589,2019-09-06,3640000,대전광역시 동구
명천종합사회복지관,충청남도 보령시 주공로 50,충청남도 보령시 명천동 413,명천종합사회복지관,041-936-8501,명천종합사회복지관,"기초수급, 차상위 노인",12:00,"주3일(월,수,금)",2019-01-01,2019-12-31,36.3424527,126.6032708,2019-09-07,4510000,충청남도 보령시
김해시노인복지회관 무료경로식당,경상남도 김해시 가락로15번길 37(봉황동),경상남도 김해시 봉황동 17-13,대한적십자사 김해지구협의회,055-322-9958,김해시노인복지회관,65세이상 저소득 결식우려 노인,중식(11:00~13:00),월+화+수+목+금,2017-01-01,,35.22739831,128.8780922,2020-09-22,5350000,경상남도 김해시
행복의집,경상남도 김해시 가락로7번길 52,경상남도 김해시 봉황동 17-20,행복의집,,행복의집,65세이상 저소득 결식우려 노인,중식(11:00~13:00),토,2019-03-01,,35.22680458,128.8768389,2020-09-22,5350000,경상남도 김해시
곡성지역자활센터,전라남도 곡성군 곡성읍 중앙로 33,전라남도 곡성군 곡성읍 읍내리261-9,곡성지역자활센터,061-363-4379,곡성군사회복지관,저소득층등,중식(12:00-13:00),월+화+수+목+금,2018-01-01,2018-12-31,35.2779462,127.2869009,2019-06-27,4860000,전라남도 곡성군
석천들경로무료급식소,"대전광역시 동구 산내로1257번길40(낭월동,석천들마을아파트)",,석천들경로무료급식소,042-272-1116,석천들경로무료급식소,"기초생활수급자, 차상위, 저소득 독거노인",중식(12:00-13:00),월~금,2016-01-01,,36.277317,127.467629,2019-09-06,3640000,대전광역시 동구
옴천면경로식당,전라남도 강진군 옴천면 개산중앙길 15-2,,옴천면분회경로당,061-434-9644,경로식당,65세이상 경로당 이용어르신,12:00,월~금,,,34.7445118527,126.7940222937,2019-09-09,4920000,전라남도 강진군
병영면경로식당,전라남도 강진군 병영면 동삼인길 7,,병영면분회경로당,061-432-1204,경로식당,65세이상 경로당 이용어르신,12:00,월~토,,,34.7144839700,126.8167681928,2019-09-09,4920000,전라남도 강진군
작천면경로식당,전라남도 강진군 작천면 평리길 28-9,,작천면분회경로당,061-432-6460,경로식당,65세이상 경로당 이용어르신,12:00,월~토,,,34.7033592385,126.7751670777,2019-09-09,4920000,전라남도 강진군
성전면경로식당,전라남도 강진군 성전면 예향로 11-4,,성전면분회경로당,061-433-3313,경로식당,65세이상 경로당 이용어르신,12:00,월~토,,,34.6925004909,126.7079249411,2019-09-09,4920000,전라남도 강진군
신전면경로식당,전라남도 강진군 신전면 신전중앙길 15-5,,신전면분회경로당,061-433-1246,경로식당,65세이상 경로당 이용어르신,12:00,월~토,,,34.5130922380,126.7200698169,2019-09-09,4920000,전라남도 강진군
도암면경로식당,전라남도 강진군 도암면 도암중앙로 57-7,,도암면분회경로당,061-433-3166,경로식당,65세이상 경로당 이용어르신,12:00,월~토,,,34.5451937958,126.7276624972,2019-09-09,4920000,전라남도 강진군
마량면경로식당,전라남도 강진군 마량면 마량8길 20,,마량면분회경로당,061-433-8825,경로식당,65세이상 경로당 이용어르신,12:00,월~토,,,34.4508658890,126.8192741548,2019-09-09,4920000,전라남도 강진군
대구면경로식당,전라남도 강진군 대구면 수동길 6,,대구면분회경로당,061-432-8530,경로식당,65세이상 경로당 이용어르신,12:00,월~금,,,34.4943158244,126.8004535437,2019-09-09,4920000,전라남도 강진군
칠량면경로식당,전라남도 강진군 칠량면 칠량로 72-1,,칠량면분회경로당,061-433-1031,경로식당,65세이상 경로당 이용어르신,12:00,월~토,,,34.5723454673,126.7983013194,2019-09-09,4920000,전라남도 강진군
군동면경로식당,전라남도 강진군 군동면 진흥로 324-9,,군동면분회경로당,061-433-9271,경로식당,65세이상 경로당 이용어르신,12:00,월~토,,,34.6437453310,126.8156630617,2019-09-09,4920000,전라남도 강진군
강진목리경로식당,전라남도 강진군 강진읍 이학래길 27,,강진목리경로당,061-432-0878,경로식당,65세이상 경로당 이용어르신,12:00,월~토,,,,,2019-09-09,4920000,전라남도 강진군
강진읍분회경로당(노인복지관) 경로식당,전라남도 강진군 강진읍 영랑로 1길 25,,강진읍분회경로당(노인복지관),061-433-3131,경로식당,65세이상 경로당 이용어르신,12:00,월~금,,,34.6388245153,126.7715240735,2019-09-09,4920000,전라남도 강진군
나눔터,경상북도 김천시 중앙시장3길 38-1(모암동),경상북도 김천시 모암동 144-4,나눔과기쁨3794지회,054-433-1104,나눔터,"독거노인, 결식노인, 노숙인, 저소득층 등",중식 11:30~13:00,토,2013-06-01,,36.1182967256,128.126687735,2019-09-09,5060000,경상북도 김천시
야고버의집,경상북도 김천시 평화중앙6길36(평화동),경상북도 김천시 평화동 317-1,김천부곡사회복지관,054-439-0160,야고버의 집,"독거노인, 결식노인, 노숙인, 저소득층 등",중식 11:30~13:00,"화,수",1999-01-01,,36.1216400,128.1133400,2019-09-09,5060000,경상북도 김천시
공양방,경상북도 김천시 김천로 150(남산동),경상북도 김천시 남산동 49-15,김천불교사암연합회,054-439-1367,공양방,"독거노인, 결식노인, 노숙인, 저소득층 등",중식 11:30~13:00,"목,금",1998-01-01,,36.1212700,128.117515234,2019-09-09,5060000,경상북도 김천시
오산면 노인회,전라남도 곡성군 오산면 오산로 587,전라남도 곡성군 오산면 봉동리619,오산면 노인회,061-360-8111,오산면 노인회,저소득층등,중식(12:00-13:00),월+화+수+목+금,2018-01-01,2018-12-31,35.2359889,127.1222007,2019-06-27,4860000,전라남도 곡성군
입면 노인회,전라남도 곡성군 입면 입면로 698,전라남도 곡성군 입면 매월리584-7,입면 노인회,061-360-7911,입면 노인회,저소득층등,중식(12:00-13:00),월+화+수+목+금,2018-01-01,2018-12-31,35.2968525,127.2034757,2019-06-27,4860000,전라남도 곡성군
옥과면 노인회,전라남도 곡성군 옥과면 옥과2길3-5,전라남도 곡성군 옥과면 옥과리155-1,옥과면 노인회,061-360-7811,옥과면 노인회,저소득층등,중식(12:00-13:00),월+화+수+목+금,2018-01-01,2018-12-31,35.2759821,127.1337593,2019-06-27,4860000,전라남도 곡성군
죽곡면 중앙교회,전라남도 곡성군 죽곡면 대황강로 784,전라남도 곡성군 죽곡면 태평리452,죽곡면 중앙교회,061-362-4940,죽곡면 중앙교회,저소득층등,중식(12:00-13:00),월+화+수+목+금,2018-01-01,2018-12-31,35.1478525,127.3179164,2019-06-27,4860000,전라남도 곡성군
석곡교회,전라남도 곡성군 석곡면 석곡8길 7,전라남도 곡성군 석곡면 능파리431-1,석곡교회,061-362-3101,석곡교회,저소득층등,중식(12:00-13:00),월+화+수+목+금,2018-01-01,2018-12-31,35.1334597,127.2548669,2019-06-27,4860000,전라남도 곡성군
삼기면 원등교회,전라남도 곡성군 삼기면 원등2길2-1,전라남도 곡성군 삼기면 원등리315-4,삼기면 원등교회,061-362-6878,삼기면 원등교회,저소득층등,중식(12:00-13:00),월+화+수+목+금,2018-01-01,2018-12-31,35.2355458,127.2088008,2019-06-27,4860000,전라남도 곡성군
창동종합사회복지관,서울특별시 도봉구 덕릉로 329,서울특별시 도봉구 창동 374,창동종합사회복지관,02-993-3222,창동종합사회복지관 구내식당,만 60세 이상 결식우려 어르신,12:00~13:00,주6회,2017-01-01,2017-12-31,37.6448368,127.0454579,2018-05-01,3090000,서울특별시 도봉구
도봉서원종합사회복지관,서울특별시 도봉구 마들로 668,서울특별시 도봉구 도봉2동 636-9,도봉서원종합사회복지관,02-3494-4755,도봉서원종합사회복지관 구내식당,만 60세 이상 결식우려 어르신,12:00~13:00,주6회,2017-01-01,2017-12-31,37.6696229,127.0465415,2018-05-01,3090000,서울특별시 도봉구
창동노인복지센터,서울특별시 도봉구 덕릉로60차길 6,서울특별시 도봉구 창동 467-4,창동노인복지센터,02-906-2968,창동노인복지센터 구내식당,만 60세 이상 결식우려 어르신,12:00~13:00,주6회,2017-01-01,2017-12-31,37.6366719,127.0413702,2018-05-01,3090000,서울특별시 도봉구
방학동노인복지센터,서울특별시 도봉구 시루봉로15라길 59-9,서울특별시 도봉구 방학동 393-5,방학동노인복지센터,02-3491-4651,방학동노인복지센터 구내식당,만 60세 이상 결식우려 어르신,12:00~13:00,주6회,2017-01-01,2017-12-31,37.6705376,127.0321759,2018-05-01,3090000,서울특별시 도봉구
도촌종합사회복지관 경로식당,경기도 성남시 중원구 도촌북로 92(도촌동),경기도 성남시 중원구 도촌동 647,도촌종합사회복지관,031-720-8521,도촌종합사회복지관 경로식당,"독거노인, 결식노인",중식(11:30~12:30),월+화+수+목+금,,,37.4151642,127.1590865,2020-06-30,3780000,경기도 성남시
수정중앙노인종합복지관 경로식당,경기도 성남시 수정구 성남대로1480번길38,경기도 성남시 수정구 복정동 666,수정중앙노인종합복지관,031-752-3366,수정중앙노인종합복지관,저소득노인 및 결식노인,중식(11:30~13:00),월+화+수+목+금+토,,,37.4615043,127.1304475,2020-06-30,3780000,경기도 성남시
태평4동 숯골 경로식당,경기도 성남시 수정구 남문로 134,경기도 성남시 수정구 태평동 7292,태평4동 숯골 경로식당,031-733-2111,태평4동 행정복지센터,저소득노인 및 결식노인,중식(11:30~12:30),월+화+수+목+금,,,37.4477024673,127.1414850277,2020-06-30,3780000,경기도 성남시
은행종합사회복지관 경로식당,경기도 성남시 중원구 산성대로 518번길 30,경기도 성남시 중원구 은행동 2503,은행종합사회복지관,031-743-7300,은행종합사회복지관 경로식당,저소득노인 및 결식노인,중식(11:30~12:30),월+화+수+목+금,,,37.4557610804,127.1664194891,2020-06-30,3780000,경기도 성남시
삼보사회복지관,충청북도 증평군 증평읍 창신로85,충청북도 증평군 증평읍 신동리 545,삼보사회복지관,043-836-6040,1층 경로식당,식사해결의 어려움이 있는 노인 49명,중식(11:00-11:30),월~금(주5회),2020-01-01,2020-12-31,36.7785191860,127.5812862496,2020-07-13,5570000,충청북도 증평군
정읍시노인복지관,전라북도 정읍시 금붕1길 212,전라북도 정읍시 금붕동 949-10,정읍시노인복지관,063-538-3606,경로식당,결식노인,중식(11:50-13:00),월+화+수+목+금,2020-01-01,2020-12-31,35.55378346,126.8931938,2020-07-15,4690000,전라북도 정읍시
정읍시북부노인복지관,전라북도 정읍시 신태인읍 신태인중앙로 40,전라북도 정읍시 신태인읍 신태인리 66-2,정읍시북부노인복지관,063-571-9051,경로식당,결식노인,중식(10:30-12:30),월+화+수+목+금,2020-01-01,2020-12-31,35.68899887,126.8894918,2020-07-15,4690000,전라북도 정읍시
해광경로식당,경상남도 고성군 고성읍 동외로168번길 34,경상남도 고성군 고성읍 동외리 163-17,사회복지법인 해광,055-673-7588,해광경로식당,저소득결식노인,중식(12:00-13:00),월+화+수+목+금,,,34.9761636509,128.3278555774,2020-07-10,5420000,경상남도 고성군
고성군노인복지관,경상남도 고성군 고성읍 남포로79번길 133,경상남도 고성군 고성읍 대독리 4,대한노인회 고성군지회,055-674-2993,고성군노인복지관,저소득결식노인,중식(12:00-13:00),월+화+수+목+금,,,34.9696474530,128.3134156133,2020-07-10,5420000,경상남도 고성군
예천군노인복지관,경상북도 예천군 예천읍 충효로 209-15,경상북도 예천군 예천읍 서본리 240,예천군 노인복지관,054-654-5222,노인복지관 내 식당,"기초생활수급자,국가유공자",11:30~14:00,월~금,2020-01-01,2020-12-31,36.6512484122,128.4464752030,2020-07-14,5230000,경상북도 예천군
진도노인복지관,전라남도 진도군 진도읍 성동길 6-1,전라남도 진도군 진도읍 성내리 22-104,진도노인복지관,061-544-5504,진도노인복지관 1층 식당,"수급자, 차상위계층 65세 이상 결식우려 독거노인",중식(11:30-13:00),월+화+수+목+금,,,34.48404879,126.2658743,2020-07-01,5000000,전라남도 진도군
서경노인복지관,전라남도 진도군 의신면 왕온로 20-7,전라남도 진도군 의신면 침계리 871,서경노인복지관,061-542-2119,서경노인복지관 1층 식당,"수급자, 차상위계층 65세 이상 결식우려 독거노인",중식(11:30-13:00),월+화+수+목+금,,,34.467238,126.2759342,2020-07-01,5000000,전라남도 진도군
장수식당,경상북도 문경시 매봉4길 25,경상북도 문경시 모전동 870,문경시종합사회복지관,054-555-0108,문경시종합사회복지관,60세이상 저소득 노인,11:40,월+화+수+목+금,,,36.58737571,128.1844652,2020-07-15,5120000,경상북도 문경시
나섬의 집,경상북도 문경시 점촌5길 39-9,경상북도 문경시 점촌동 440,점촌동성당,054-553-8191,점촌동성당,60세이상 저소득 노인,12:00,화+수+목,,,36.59732533,128.1962126,2020-07-15,5120000,경상북도 문경시
흥덕장수식당,경상북도 문경시 호서로 154,경상북도 문경시 흥덕동 660,흥덕종합사회복지관,054-554-3320,흥덕종합사회복지관,60세이상 저소득 노인,12:00,월+화+목,,,36.6075412234,128.2057497902,2020-07-15,5120000,경상북도 문경시
서울노인복지센터,서울특별시 종로구 삼일대로 467(경운동),,서울노인복지센터,02-6220-8500,서울노인복지센터,60세이상 가정형편이 어렵거나 부득이한 사정으로 식사를 거를 우려가 있는 어르신,중식(12:00-13:00),월+화+수+목+금+토,2001-04-01,2050-12-31,37.5759667825,126.985832,2020-07-15,3000000,서울특별시 종로구
도봉동노인복지센터,서울특별시 도봉구 도봉로169가길 52,서울특별시 도봉구 도봉1동 580-5,도봉동노인복지센터,02-3491-3356,도봉동노인복지센터 구내식당,만 60세 이상 결식우려 어르신,12:00~13:00,주6회,2017-01-01,2017-12-31,37.6820824,127.0435512,2018-05-01,3090000,서울특별시 도봉구
쌍문동노인복지센터,서울특별시 도봉구 우이천로 363,서울특별시 도봉구 쌍문1동 361-8,쌍문동노인복지센터,02-900-4641,쌍문동노인복지센터 구내식당,만 60세 이상 결식우려 어르신,12:00~13:00,주6회,2017-01-01,2017-12-31,37.6482087,127.0238013,2018-05-01,3090000,서울특별시 도봉구
도봉노인종합복지관,서울특별시 도봉구 도당로2길 12-13,서울특별시 도봉구 쌍문2동 19-12,도봉노인종합복지관,02-993-9900,도봉노인종합복지관 구내식당,만 60세 이상 결식우려 어르신,12:00~13:00,주6회,2017-01-01,2017-12-31,37.6588797,127.0359721,2018-05-01,3090000,서울특별시 도봉구
속초중앙교회,강원도 속초시 번영로 30 (청학동),강원도 속초시 번영로30(청학동),속초중앙교회,033-633-0441,속초중앙교회내 식당,만60세 이상 저소득노인,중식(11:50~14:00),화,2003-05-01,2020-12-31,38.2029509099,128.5816515248,2019-09-26,4230000,강원도 속초시
참사랑교회,강원도 속초시 중앙시장로4길 2 (중앙동),강원도 속초시 중앙시장로4길 2(금호동),참사랑교회,033-638-2691,참사랑교회내 식당,만60세 이상 저소득노인,중식(11:00~12:00),토,2003-06-01,2020-12-31,38.2065498,128.5884198674,2019-09-26,4230000,강원도 속초시
국수사랑봉사단,강원도 속초시 먹거리7길 18(노학동),강원도 속초시 먹거리7길 18(노학동),국수사랑봉사단,,먹거리단지내 쉼터,만60세 이상 저소득노인,중식(09:00~12:00),일,2007-07-13,2020-12-31,38.1955418606,128.574449,2019-09-26,4230000,강원도 속초시
순창천주교회,전라북도 순창군 순창읍 순창로 247,전라북도 순창군 순창읍 남계리 204-1,순창천주교회,063-652-1004,순창천주교회,결식노인,중식(12:00~13:00),매주금요일,2019-03-01,2019-12-31,35.3771965052,127.1432110248,2019-06-30,4770000,전라북도 순창군
순창읍교회 무료경로식당,전라북도 순창군 순창읍 순창9길 23,전라북도 순창군 순창읍 순화리 153-1,순창읍교회,063-653-2604,순창읍교회 식당,결식노인,중식(12:00~13:00),"순창장날(1,6일)",2019-01-01,2019-12-31,35.375111,127.1407071399,2019-06-30,4770000,전라북도 순창군
쌍치면분회경로당 무료경로식당,전라북도 순창군 쌍치면 쌍계로 35,전라북도 순창군 쌍치면 쌍계리 295-14,쌍치면분회경로당,,쌍치면분회경로당 복지식당,결식노인,중식(12:00~13:00),"쌍치장날(4,9일)",2019-01-01,2019-12-31,35.5003112573,127.0023671,2019-06-30,4770000,전라북도 순창군
조곡무료급식소(해피누리),전라남도 순천시 자경1길 6 (조곡동),전라남도 순천시 조곡동 82-170,순천YWCA,061-744-7990,철도운동장 내 체육시설관리소 1층 식당,만60세 이상 결식우려 노인,11:20 ~ 12:20,매주 월~토,2014-11-04,,34.94951731,127.4989282,2020-07-28,4820000,전라남도 순천시
남정무료급식소,전라남도 순천시 동신흥1길 18 (남정동),전라남도 순천시 남정동 541-6,남정무료급식소,061-742-3191,남정무료급식소,만60세 이상 결식우려 노인,17:00 ~ 18:00,매주 월~토,2013-01-02,,34.93924642,127.4906564,2020-07-28,4820000,전라남도 순천시
노인복지회관,경상남도 거창군 거창읍 송정1길 24-15,경상남도 거창군 거창읍 송정리 1092,(사)대한노인회거창군지회,055-944-8300,노인복지회관,65세이상 결식우려 저소득층 노인,12:00-13:00,"연중(토,일. 공휴일 제외, 8월 혹서기 4주제외)",2020-01-01,2020-12-31,35.6817200562,127.8980468813,2020-07-31,5470000,경상남도 거창군
대한적십자사봉사회 보령지구협의회,충청남도 보령시 보령북로 59,충청남도 보령시 대천동 106-1,대한적십자사봉사회 보령지구협의회,041-936-1452,대한적십자사봉사회 보령지구협의회,"기초수급, 차상위 노인",12:00,주1일(수),2019-01-01,2019-12-31,36.3516756,126.5988202,2019-09-07,4510000,충청남도 보령시
보령효나눔복지센터,충청남도 보령시 미산면 판미로 1471,충청남도 보령시 미산면 풍계리 283-6,보령효나눔복지센터,041-931-8490,보령효나눔복지센터,"기초수급, 차상위 노인",12:00,주1일(월),2019-01-01,2019-12-31,36.2903418462,126.675278935,2019-09-07,4510000,충청남도 보령시
상리종합사회복지관,전라남도 목포시 상동로 68,전라남도 목포시 상동 740 주공3단지 아파트,상리종합사회복지관,061-274-0068,복지관 내,"국기초, 차상위계층 등",중식(11:30-13:00),월+화+수+목+금,1999-06-01,,34.8155095549,126.4129877663,2019-06-27,4800000,전라남도 목포시
상동종합사회복지관,전라남도 목포시 상동로 63,전라남도 목포시 상동 739 상동1단지아파트,상동종합사회복지관,061-273-1142,복지관 내,"국기초, 차상위계층 등",중식(11:30-13:00),월+화+수+목+금,1991-03-01,,34.8151511805,126.4126930231,2019-06-27,4800000,전라남도 목포시
하나노인복지관,전라남도 목포시 해안로229번길 9-1,전라남도 목포시 영해동1가 11-1,하나노인복지관,061-242-5357,복지관 내,"국기초, 차상위계층 등",중식(11:30-13:00),월+화+수+목+금,2008-02-01,,34.7861814761,126.3858987022,2019-06-27,4800000,전라남도 목포시
하당노인복지관,전라남도 목포시 입암로20번길 25,전라남도 목포시 상동 942,하당노인복지관,061-285-0582,복지관 내,"국기초, 차상위계층 등",중식(11:30-13:00),월+화+수+목+금,2003-07-01,,34.7998789652,126.4189164340,2019-06-27,4800000,전라남도 목포시
목포이랜드노인복지관,전라남도 목포시 용당로161번길 14,전라남도 목포시 용당2동 947-180,목포이랜드노인복지관,061-278-0200,복지관 내,"국기초, 차상위계층 등",중식(11:30-13:00),월+화+수+목+금,2011-07-01,,34.8018276480,126.3992107984,2019-06-27,4800000,전라남도 목포시
